,bathrooms,bedrooms,city,country,currency,daysOnZillow,homeStatus,homeStatusForHDP,homeType,imgSrc,isFeatured,isNonOwnerOccupied,isPreforeclosureAuction,isPremierBuilder,isShowcaseListing,isUnmappable,isZillowOwned,latitude,livingArea,longitude,price,priceForHDP,shouldHighlight,state,streetAddress,timeOnZillow,unit,zestimate,zipcode,zpid,listing_sub_type.is_FSBA,rentZestimate,lotAreaUnit,lotAreaValue,taxAssessedValue,datePriceChanged,priceChange,priceReduction,openHouse,listing_sub_type.is_openHouse,open_house_info.open_house_showing,newConstructionType,listing_sub_type.is_newHome,listing_sub_type.is_foreclosure,listing_sub_type.is_bankOwned,comingSoonOnMarketDate,listing_sub_type.is_comingSoon,isRentalWithBasePrice,listing_sub_type.is_forAuction,videoCount,providerListingID,group_type,priceSuffix
0,2.0,3.0,Bronx,USA,USD,-1,FOR_SALE,FOR_SALE,CONDO,https://photos.zillowstatic.com/fp/136cea89fd254edd816b5acb5a67370d-p_e.jpg,False,True,False,False,False,False,False,40.84174,985.0,-73.88161,199000.0,199000.0,False,NY,972 E 178th St #B,1634448000,# B,201700.0,10460,443921727,True,,,,,,,,,,,,,,,,,,,,,,
1,3.0,3.0,New York,USA,USD,-1,FOR_SALE,FOR_SALE,CONDO,https://photos.zillowstatic.com/fp/b05d68d02a928b83be2ff5d6da4a4233-p_e.jpg,False,True,False,False,False,False,False,40.764317,1800.0,-73.9776,475000.0,475000.0,False,NY,100 W 57th St #17IH,18832629000,# 17IH,,10019,72519078,True,15000.0,,,,,,,,,,,,,,,,,,,,,
2,1.0,3.0,South Ozone Park,USA,USD,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/269d6cfb6e42b085464e040463930deb-p_e.jpg,False,True,False,False,False,False,False,40.675747,1556.0,-73.82241,274000.0,274000.0,False,NY,115-30 116th St,18251615000,,,11420,2078094339,True,2706.0,sqft,2400.0,,,,,,,,,,,,,,,,,,,
3,2.0,3.0,Flushing,USA,USD,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/f2dad4cbfbd1cc8024bf03e955008ea7-p_e.jpg,False,True,False,False,False,False,False,40.73065,4000.0,-73.787605,1088000.0,1088000.0,False,NY,7325 182nd Street,1128194000,,,11366,32078722,True,,sqft,4000.0,951000.0,,,,,,,,,,,,,,,,,,
4,3.0,4.0,Staten Island,USA,USD,-1,FOR_SALE,FOR_SALE,TOWNHOUSE,https://photos.zillowstatic.com/fp/98f56b14ba07443165822770b19a27a4-p_e.jpg,False,True,False,False,False,False,False,40.564392,1679.0,-74.18404,559888.0,559888.0,False,NY,48 Bianca Ct,1193131000,,559800.0,10312,32360043,True,3364.0,sqft,435.6,491000.0,,,,,,,,,,,,,,,,,,
5,2.0,3.0,Jamaica,USA,USD,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/310232525bdb4d5abdea93fcbead2ad2-p_e.jpg,False,True,False,False,False,False,False,40.685883,1224.0,-73.779526,349999.0,349999.0,False,NY,116-49 167th Street,1238397000,,,11434,32189291,True,,,,603000.0,1737360000000.0,-300000.0,"$300,000 (Jan 20)",,,,,,,,,,,,,,,
6,1.0,3.0,Bronx,USA,USD,-1,FOR_SALE,FOR_SALE,CONDO,https://photos.zillowstatic.com/fp/edee52e76de68669be34cdfea639c8df-p_e.jpg,False,True,False,False,False,False,False,40.848816,1100.0,-73.90534,275000.0,275000.0,False,NY,212 E Tremont Ave #9,11747829000,# 9,273500.0,10457,2054481177,True,3363.0,,,,1731571200000.0,-20000.0,"$20,000 (Nov 14)",,,,,,,,,,,,,,,
7,9.0,6.0,New York,USA,USD,-1,FOR_SALE,FOR_SALE,CONDO,https://photos.zillowstatic.com/fp/736731955ed458825587381963b5fc24-p_e.jpg,False,True,False,False,False,False,False,40.7615,8255.0,-73.971794,105000000.0,105000000.0,False,NY,432 Park Ave #PENTHOUSE,21943029000,# PENTHOUSE,17533200.0,10022,2069500049,True,53568.0,,,,,,,,,,,,,,,,,,,,,
8,2.0,2.0,New York,USA,USD,-1,FOR_SALE,FOR_SALE,CONDO,https://photos.zillowstatic.com/fp/fbdd2ff98695c152bf9c1ed9d4ce679b-p_e.jpg,False,True,False,False,False,False,False,40.763935,1335.0,-73.96417,550000.0,550000.0,False,NY,205 E 63rd St APT 14D,1293429000,Apt 14D,554600.0,10065,443678350,True,,,,,,,,Sun. 12-1pm,True,"[{'open_house_end': 1738530000000, 'open_house_start': 1738526400000}]",,,,,,,,,,,,
9,1.0,3.0,New York,USA,USD,-1,FOR_SALE,FOR_SALE,CONDO,https://photos.zillowstatic.com/fp/5f118976515780351f72f3be6a86a62a-p_e.jpg,False,True,False,False,False,False,False,40.821606,0.0,-73.94053,275000.0,275000.0,False,NY,219 W 144th St APT 34,10451829000,Apt 34,267100.0,10030,88061828,True,2817.0,,,,,,,,,,,,,,,,,,,,,
